120.37.142.161	Wed May 03 2017 09:53:30 GMT+0800 (HKT)
27.152.29.240	Wed May 03 2017 22:33:14 GMT+0800 (HKT)
120.37.141.181	Wed May 03 2017 22:35:15 GMT+0800 (HKT)
120.37.141.181	Wed May 03 2017 22:37:17 GMT+0800 (HKT)
120.37.141.44	Wed May 03 2017 22:39:18 GMT+0800 (HKT)
120.37.141.44	Wed May 03 2017 22:41:18 GMT+0800 (HKT)
120.37.141.44	Wed May 03 2017 22:43:19 GMT+0800 (HKT)
27.152.29.121	Wed May 03 2017 22:45:19 GMT+0800 (HKT)
27.152.29.121	Wed May 03 2017 22:47:22 GMT+0800 (HKT)
120.37.142.22	Wed May 03 2017 22:49:23 GMT+0800 (HKT)
120.37.142.22	Wed May 03 2017 22:51:23 GMT+0800 (HKT)
120.37.142.22	Wed May 03 2017 22:53:24 GMT+0800 (HKT)
120.37.142.65	Wed May 03 2017 22:55:25 GMT+0800 (HKT)
120.37.142.65	Wed May 03 2017 22:57:26 GMT+0800 (HKT)
120.37.142.34	Wed May 03 2017 22:59:27 GMT+0800 (HKT)
120.37.142.34	Wed May 03 2017 23:01:28 GMT+0800 (HKT)
120.37.142.34	Wed May 03 2017 23:03:29 GMT+0800 (HKT)
120.37.142.177	Wed May 03 2017 23:05:30 GMT+0800 (HKT)
120.37.142.177	Wed May 03 2017 23:07:30 GMT+0800 (HKT)
120.37.142.8	Wed May 03 2017 23:09:33 GMT+0800 (HKT)
120.37.142.8	Wed May 03 2017 23:11:35 GMT+0800 (HKT)
120.37.142.8	Wed May 03 2017 23:13:35 GMT+0800 (HKT)
120.37.141.109	Wed May 03 2017 23:15:36 GMT+0800 (HKT)
120.37.141.109	Wed May 03 2017 23:17:38 GMT+0800 (HKT)
120.37.142.70	Wed May 03 2017 23:19:39 GMT+0800 (HKT)
120.37.142.70	Wed May 03 2017 23:21:40 GMT+0800 (HKT)
120.37.142.70	Wed May 03 2017 23:23:40 GMT+0800 (HKT)
27.152.29.171	Wed May 03 2017 23:25:41 GMT+0800 (HKT)
27.152.29.171	Wed May 03 2017 23:27:42 GMT+0800 (HKT)
27.152.29.47	Wed May 03 2017 23:29:43 GMT+0800 (HKT)
27.152.29.47	Wed May 03 2017 23:31:43 GMT+0800 (HKT)
27.152.29.47	Wed May 03 2017 23:33:44 GMT+0800 (HKT)
125.78.88.140	Wed May 03 2017 23:35:45 GMT+0800 (HKT)
125.78.88.140	Wed May 03 2017 23:37:46 GMT+0800 (HKT)
120.37.142.8	Wed May 03 2017 23:39:47 GMT+0800 (HKT)
120.37.142.8	Wed May 03 2017 23:41:47 GMT+0800 (HKT)
120.37.142.8	Wed May 03 2017 23:43:48 GMT+0800 (HKT)
120.37.141.26	Wed May 03 2017 23:45:49 GMT+0800 (HKT)
120.37.141.26	Wed May 03 2017 23:47:49 GMT+0800 (HKT)
120.37.141.11	Wed May 03 2017 23:49:50 GMT+0800 (HKT)
120.37.141.11	Wed May 03 2017 23:51:50 GMT+0800 (HKT)
120.37.141.11	Wed May 03 2017 23:53:52 GMT+0800 (HKT)
120.37.141.167	Wed May 03 2017 23:55:52 GMT+0800 (HKT)
120.37.141.167	Wed May 03 2017 23:57:53 GMT+0800 (HKT)
125.78.88.231	Wed May 03 2017 23:59:54 GMT+0800 (HKT)
125.78.88.231	Thu May 04 2017 00:01:54 GMT+0800 (HKT)
125.78.88.231	Thu May 04 2017 00:03:55 GMT+0800 (HKT)
120.37.141.63	Thu May 04 2017 00:05:56 GMT+0800 (HKT)
120.37.141.63	Thu May 04 2017 00:07:57 GMT+0800 (HKT)
27.152.29.133	Thu May 04 2017 00:09:58 GMT+0800 (HKT)
27.152.29.133	Thu May 04 2017 00:11:59 GMT+0800 (HKT)
27.152.29.133	Thu May 04 2017 00:13:59 GMT+0800 (HKT)
125.78.88.224	Thu May 04 2017 00:16:00 GMT+0800 (HKT)
125.78.88.224	Thu May 04 2017 00:18:01 GMT+0800 (HKT)
120.37.141.25	Thu May 04 2017 00:20:02 GMT+0800 (HKT)
120.37.141.25	Thu May 04 2017 00:22:02 GMT+0800 (HKT)
120.37.141.25	Thu May 04 2017 00:24:03 GMT+0800 (HKT)
120.37.142.156	Thu May 04 2017 00:26:04 GMT+0800 (HKT)
120.37.142.156	Thu May 04 2017 00:28:05 GMT+0800 (HKT)
125.78.88.63	Thu May 04 2017 00:30:06 GMT+0800 (HKT)
125.78.88.63	Thu May 04 2017 00:32:07 GMT+0800 (HKT)
125.78.88.63	Thu May 04 2017 00:34:07 GMT+0800 (HKT)
120.37.142.206	Thu May 04 2017 00:36:08 GMT+0800 (HKT)
120.37.142.206	Thu May 04 2017 00:38:09 GMT+0800 (HKT)
120.37.142.83	Thu May 04 2017 00:40:10 GMT+0800 (HKT)
120.37.142.83	Thu May 04 2017 00:42:10 GMT+0800 (HKT)
120.37.142.83	Thu May 04 2017 00:44:11 GMT+0800 (HKT)
120.37.141.57	Thu May 04 2017 00:46:12 GMT+0800 (HKT)
120.37.141.57	Thu May 04 2017 00:48:12 GMT+0800 (HKT)
120.37.142.83	Thu May 04 2017 00:50:14 GMT+0800 (HKT)
120.37.142.83	Thu May 04 2017 00:52:15 GMT+0800 (HKT)
120.37.142.83	Thu May 04 2017 00:54:16 GMT+0800 (HKT)
27.152.29.30	Thu May 04 2017 00:56:17 GMT+0800 (HKT)
27.152.29.30	Thu May 04 2017 00:58:18 GMT+0800 (HKT)
125.78.88.53	Thu May 04 2017 01:00:18 GMT+0800 (HKT)
125.78.88.53	Thu May 04 2017 01:02:19 GMT+0800 (HKT)
125.78.88.53	Thu May 04 2017 01:04:21 GMT+0800 (HKT)
120.37.141.149	Thu May 04 2017 01:06:23 GMT+0800 (HKT)
120.37.141.149	Thu May 04 2017 01:08:24 GMT+0800 (HKT)
125.78.88.225	Thu May 04 2017 01:10:27 GMT+0800 (HKT)
125.78.88.225	Thu May 04 2017 01:12:28 GMT+0800 (HKT)
125.78.88.225	Thu May 04 2017 01:14:29 GMT+0800 (HKT)
27.152.29.191	Thu May 04 2017 01:16:29 GMT+0800 (HKT)
27.152.29.191	Thu May 04 2017 01:18:30 GMT+0800 (HKT)
27.152.29.101	Thu May 04 2017 01:20:31 GMT+0800 (HKT)
27.152.29.101	Thu May 04 2017 01:22:33 GMT+0800 (HKT)
27.152.29.101	Thu May 04 2017 01:24:36 GMT+0800 (HKT)
125.78.88.58	Thu May 04 2017 01:26:37 GMT+0800 (HKT)
125.78.88.58	Thu May 04 2017 01:28:40 GMT+0800 (HKT)
27.152.29.204	Thu May 04 2017 01:30:41 GMT+0800 (HKT)
27.152.29.204	Thu May 04 2017 01:32:42 GMT+0800 (HKT)
27.152.29.204	Thu May 04 2017 01:34:42 GMT+0800 (HKT)
125.78.88.74	Thu May 04 2017 01:36:43 GMT+0800 (HKT)
125.78.88.74	Thu May 04 2017 01:38:44 GMT+0800 (HKT)
120.37.141.155	Thu May 04 2017 01:40:44 GMT+0800 (HKT)
120.37.141.155	Thu May 04 2017 01:42:45 GMT+0800 (HKT)
120.37.141.155	Thu May 04 2017 01:44:46 GMT+0800 (HKT)
120.37.141.228	Thu May 04 2017 01:46:47 GMT+0800 (HKT)
120.37.141.228	Thu May 04 2017 01:48:48 GMT+0800 (HKT)
27.152.29.132	Thu May 04 2017 01:50:49 GMT+0800 (HKT)
27.152.29.132	Thu May 04 2017 01:52:49 GMT+0800 (HKT)
27.152.29.132	Thu May 04 2017 01:54:50 GMT+0800 (HKT)
120.37.142.8	Thu May 04 2017 01:56:51 GMT+0800 (HKT)
120.37.142.8	Thu May 04 2017 01:58:52 GMT+0800 (HKT)
120.37.141.219	Thu May 04 2017 02:00:52 GMT+0800 (HKT)
120.37.141.219	Thu May 04 2017 02:02:54 GMT+0800 (HKT)
120.37.141.219	Thu May 04 2017 02:04:55 GMT+0800 (HKT)
120.37.142.96	Thu May 04 2017 02:06:55 GMT+0800 (HKT)
120.37.142.96	Thu May 04 2017 02:08:57 GMT+0800 (HKT)
125.78.88.205	Thu May 04 2017 02:10:59 GMT+0800 (HKT)
125.78.88.205	Thu May 04 2017 02:13:00 GMT+0800 (HKT)
125.78.88.205	Thu May 04 2017 02:15:00 GMT+0800 (HKT)
120.37.142.231	Thu May 04 2017 02:17:02 GMT+0800 (HKT)
120.37.142.231	Thu May 04 2017 02:19:04 GMT+0800 (HKT)
120.37.142.3	Thu May 04 2017 02:21:05 GMT+0800 (HKT)
120.37.142.3	Thu May 04 2017 02:23:05 GMT+0800 (HKT)
120.37.142.3	Thu May 04 2017 02:25:06 GMT+0800 (HKT)
125.78.88.245	Thu May 04 2017 02:27:06 GMT+0800 (HKT)
125.78.88.245	Thu May 04 2017 02:29:08 GMT+0800 (HKT)
120.37.142.242	Thu May 04 2017 02:31:09 GMT+0800 (HKT)
120.37.142.242	Thu May 04 2017 02:33:10 GMT+0800 (HKT)
120.37.142.242	Thu May 04 2017 02:35:10 GMT+0800 (HKT)
125.78.88.242	Thu May 04 2017 02:37:11 GMT+0800 (HKT)
125.78.88.242	Thu May 04 2017 02:39:12 GMT+0800 (HKT)
120.37.142.217	Thu May 04 2017 02:41:12 GMT+0800 (HKT)
120.37.142.217	Thu May 04 2017 02:43:13 GMT+0800 (HKT)
120.37.142.217	Thu May 04 2017 02:45:13 GMT+0800 (HKT)
120.37.142.198	Thu May 04 2017 02:47:14 GMT+0800 (HKT)
120.37.142.198	Thu May 04 2017 02:49:15 GMT+0800 (HKT)
120.37.141.106	Thu May 04 2017 02:51:16 GMT+0800 (HKT)
120.37.141.106	Thu May 04 2017 02:53:17 GMT+0800 (HKT)
120.37.141.106	Thu May 04 2017 02:55:17 GMT+0800 (HKT)
120.37.141.12	Thu May 04 2017 02:57:18 GMT+0800 (HKT)
120.37.141.12	Thu May 04 2017 02:59:19 GMT+0800 (HKT)
120.37.142.120	Thu May 04 2017 03:01:19 GMT+0800 (HKT)
120.37.142.120	Thu May 04 2017 03:03:20 GMT+0800 (HKT)
120.37.142.120	Thu May 04 2017 03:05:20 GMT+0800 (HKT)
27.152.29.230	Thu May 04 2017 03:07:21 GMT+0800 (HKT)
27.152.29.230	Thu May 04 2017 03:09:22 GMT+0800 (HKT)
125.78.88.75	Thu May 04 2017 03:11:22 GMT+0800 (HKT)
125.78.88.75	Thu May 04 2017 03:13:23 GMT+0800 (HKT)
125.78.88.75	Thu May 04 2017 03:15:24 GMT+0800 (HKT)
27.152.29.126	Thu May 04 2017 03:17:24 GMT+0800 (HKT)
27.152.29.126	Thu May 04 2017 03:19:25 GMT+0800 (HKT)
27.152.29.126	Thu May 04 2017 03:21:25 GMT+0800 (HKT)
125.78.88.141	Thu May 04 2017 03:23:26 GMT+0800 (HKT)
125.78.88.141	Thu May 04 2017 03:25:27 GMT+0800 (HKT)
120.37.141.60	Thu May 04 2017 03:27:27 GMT+0800 (HKT)
120.37.141.60	Thu May 04 2017 03:29:28 GMT+0800 (HKT)
120.37.142.245	Thu May 04 2017 03:31:29 GMT+0800 (HKT)
120.37.142.245	Thu May 04 2017 03:33:29 GMT+0800 (HKT)
120.37.142.245	Thu May 04 2017 03:35:30 GMT+0800 (HKT)
120.37.142.27	Thu May 04 2017 03:37:31 GMT+0800 (HKT)
120.37.142.27	Thu May 04 2017 03:39:32 GMT+0800 (HKT)
27.152.29.70	Thu May 04 2017 03:41:32 GMT+0800 (HKT)
27.152.29.70	Thu May 04 2017 03:43:33 GMT+0800 (HKT)
27.152.29.70	Thu May 04 2017 03:45:35 GMT+0800 (HKT)
120.37.141.88	Thu May 04 2017 03:47:36 GMT+0800 (HKT)
120.37.141.88	Thu May 04 2017 03:49:37 GMT+0800 (HKT)
120.37.142.5	Thu May 04 2017 03:51:38 GMT+0800 (HKT)
120.37.142.5	Thu May 04 2017 03:53:38 GMT+0800 (HKT)
120.37.142.5	Thu May 04 2017 03:55:39 GMT+0800 (HKT)
120.37.141.53	Thu May 04 2017 03:57:40 GMT+0800 (HKT)
120.37.141.53	Thu May 04 2017 03:59:41 GMT+0800 (HKT)
125.78.88.27	Thu May 04 2017 04:01:41 GMT+0800 (HKT)
125.78.88.27	Thu May 04 2017 04:03:42 GMT+0800 (HKT)
125.78.88.27	Thu May 04 2017 04:05:43 GMT+0800 (HKT)
120.37.142.195	Thu May 04 2017 04:07:44 GMT+0800 (HKT)
120.37.142.195	Thu May 04 2017 04:09:44 GMT+0800 (HKT)
125.78.88.170	Thu May 04 2017 04:11:46 GMT+0800 (HKT)
125.78.88.170	Thu May 04 2017 04:13:47 GMT+0800 (HKT)
125.78.88.170	Thu May 04 2017 04:15:47 GMT+0800 (HKT)
120.37.142.189	Thu May 04 2017 04:17:48 GMT+0800 (HKT)
120.37.142.189	Thu May 04 2017 04:19:49 GMT+0800 (HKT)
120.37.142.175	Thu May 04 2017 04:21:49 GMT+0800 (HKT)
120.37.142.175	Thu May 04 2017 04:23:50 GMT+0800 (HKT)
120.37.142.175	Thu May 04 2017 04:25:51 GMT+0800 (HKT)
120.37.142.204	Thu May 04 2017 04:27:51 GMT+0800 (HKT)
120.37.142.204	Thu May 04 2017 04:29:52 GMT+0800 (HKT)
125.78.88.98	Thu May 04 2017 04:31:53 GMT+0800 (HKT)
125.78.88.98	Thu May 04 2017 04:33:53 GMT+0800 (HKT)
125.78.88.98	Thu May 04 2017 04:35:54 GMT+0800 (HKT)
120.37.142.40	Thu May 04 2017 04:37:54 GMT+0800 (HKT)
120.37.142.40	Thu May 04 2017 04:39:55 GMT+0800 (HKT)
27.152.29.68	Thu May 04 2017 04:41:56 GMT+0800 (HKT)
27.152.29.68	Thu May 04 2017 04:43:56 GMT+0800 (HKT)
27.152.29.68	Thu May 04 2017 04:45:57 GMT+0800 (HKT)
27.152.29.220	Thu May 04 2017 04:47:58 GMT+0800 (HKT)
27.152.29.220	Thu May 04 2017 04:49:58 GMT+0800 (HKT)
27.152.29.167	Thu May 04 2017 04:52:00 GMT+0800 (HKT)
27.152.29.167	Thu May 04 2017 04:54:01 GMT+0800 (HKT)
27.152.29.167	Thu May 04 2017 04:56:01 GMT+0800 (HKT)
27.152.29.205	Thu May 04 2017 04:58:02 GMT+0800 (HKT)
27.152.29.205	Thu May 04 2017 05:00:03 GMT+0800 (HKT)
27.152.29.238	Thu May 04 2017 05:02:04 GMT+0800 (HKT)
27.152.29.238	Thu May 04 2017 05:04:05 GMT+0800 (HKT)
27.152.29.238	Thu May 04 2017 05:06:05 GMT+0800 (HKT)
125.78.88.66	Thu May 04 2017 05:08:08 GMT+0800 (HKT)
125.78.88.66	Thu May 04 2017 05:10:08 GMT+0800 (HKT)
27.152.29.163	Thu May 04 2017 05:12:09 GMT+0800 (HKT)
27.152.29.163	Thu May 04 2017 05:14:10 GMT+0800 (HKT)
27.152.29.163	Thu May 04 2017 05:16:10 GMT+0800 (HKT)
125.78.88.52	Thu May 04 2017 05:18:11 GMT+0800 (HKT)
125.78.88.52	Thu May 04 2017 05:20:12 GMT+0800 (HKT)
27.152.29.201	Thu May 04 2017 05:22:13 GMT+0800 (HKT)
27.152.29.201	Thu May 04 2017 05:24:13 GMT+0800 (HKT)
27.152.29.201	Thu May 04 2017 05:26:14 GMT+0800 (HKT)
125.78.88.227	Thu May 04 2017 05:28:15 GMT+0800 (HKT)
125.78.88.227	Thu May 04 2017 05:30:16 GMT+0800 (HKT)
120.37.141.114	Thu May 04 2017 05:32:16 GMT+0800 (HKT)
120.37.141.114	Thu May 04 2017 05:34:17 GMT+0800 (HKT)
120.37.141.114	Thu May 04 2017 05:36:18 GMT+0800 (HKT)
27.152.29.33	Thu May 04 2017 05:38:18 GMT+0800 (HKT)
27.152.29.33	Thu May 04 2017 05:40:19 GMT+0800 (HKT)
27.152.29.91	Thu May 04 2017 05:42:20 GMT+0800 (HKT)
27.152.29.91	Thu May 04 2017 05:44:21 GMT+0800 (HKT)
27.152.29.91	Thu May 04 2017 05:46:21 GMT+0800 (HKT)
120.37.141.147	Thu May 04 2017 05:48:22 GMT+0800 (HKT)
120.37.141.147	Thu May 04 2017 05:50:22 GMT+0800 (HKT)
120.37.142.166	Thu May 04 2017 05:52:23 GMT+0800 (HKT)
120.37.142.166	Thu May 04 2017 05:54:24 GMT+0800 (HKT)
120.37.142.166	Thu May 04 2017 05:56:24 GMT+0800 (HKT)
125.78.88.107	Thu May 04 2017 05:58:25 GMT+0800 (HKT)
125.78.88.107	Thu May 04 2017 06:00:26 GMT+0800 (HKT)
125.78.88.120	Thu May 04 2017 06:02:27 GMT+0800 (HKT)
125.78.88.120	Thu May 04 2017 06:04:28 GMT+0800 (HKT)
125.78.88.120	Thu May 04 2017 06:06:28 GMT+0800 (HKT)
27.152.29.234	Thu May 04 2017 06:08:29 GMT+0800 (HKT)
27.152.29.234	Thu May 04 2017 06:10:30 GMT+0800 (HKT)
125.78.88.43	Thu May 04 2017 06:12:31 GMT+0800 (HKT)
125.78.88.43	Thu May 04 2017 06:14:32 GMT+0800 (HKT)
125.78.88.43	Thu May 04 2017 06:16:32 GMT+0800 (HKT)
120.37.142.8	Thu May 04 2017 06:18:33 GMT+0800 (HKT)
120.37.142.8	Thu May 04 2017 06:20:33 GMT+0800 (HKT)
125.78.88.39	Thu May 04 2017 06:22:35 GMT+0800 (HKT)
125.78.88.39	Thu May 04 2017 06:24:35 GMT+0800 (HKT)
125.78.88.39	Thu May 04 2017 06:26:36 GMT+0800 (HKT)
125.78.88.230	Thu May 04 2017 06:28:37 GMT+0800 (HKT)
125.78.88.230	Thu May 04 2017 06:30:37 GMT+0800 (HKT)
120.37.141.80	Thu May 04 2017 06:32:38 GMT+0800 (HKT)
120.37.141.80	Thu May 04 2017 06:34:39 GMT+0800 (HKT)
120.37.141.80	Thu May 04 2017 06:36:39 GMT+0800 (HKT)
120.37.142.42	Thu May 04 2017 06:38:40 GMT+0800 (HKT)
120.37.142.42	Thu May 04 2017 06:40:41 GMT+0800 (HKT)
125.78.88.243	Thu May 04 2017 06:42:41 GMT+0800 (HKT)
125.78.88.243	Thu May 04 2017 06:44:42 GMT+0800 (HKT)
125.78.88.243	Thu May 04 2017 06:46:43 GMT+0800 (HKT)
120.37.142.123	Thu May 04 2017 06:48:43 GMT+0800 (HKT)
120.37.142.123	Thu May 04 2017 06:50:44 GMT+0800 (HKT)
120.37.142.250	Thu May 04 2017 06:52:45 GMT+0800 (HKT)
120.37.142.250	Thu May 04 2017 06:54:45 GMT+0800 (HKT)
120.37.142.250	Thu May 04 2017 06:56:46 GMT+0800 (HKT)
120.37.141.161	Thu May 04 2017 06:58:47 GMT+0800 (HKT)
120.37.141.161	Thu May 04 2017 07:00:48 GMT+0800 (HKT)
125.78.88.179	Thu May 04 2017 07:02:48 GMT+0800 (HKT)
125.78.88.179	Thu May 04 2017 07:04:50 GMT+0800 (HKT)
125.78.88.179	Thu May 04 2017 07:06:50 GMT+0800 (HKT)
27.152.29.109	Thu May 04 2017 07:08:51 GMT+0800 (HKT)
27.152.29.109	Thu May 04 2017 07:10:52 GMT+0800 (HKT)
27.152.29.245	Thu May 04 2017 07:12:52 GMT+0800 (HKT)
27.152.29.245	Thu May 04 2017 07:14:53 GMT+0800 (HKT)
27.152.29.245	Thu May 04 2017 07:16:53 GMT+0800 (HKT)
125.78.88.86	Thu May 04 2017 07:18:54 GMT+0800 (HKT)
125.78.88.86	Thu May 04 2017 07:20:55 GMT+0800 (HKT)
27.152.29.162	Thu May 04 2017 07:22:55 GMT+0800 (HKT)
27.152.29.162	Thu May 04 2017 07:24:56 GMT+0800 (HKT)
27.152.29.162	Thu May 04 2017 07:26:57 GMT+0800 (HKT)
120.37.142.194	Thu May 04 2017 07:28:58 GMT+0800 (HKT)
120.37.142.194	Thu May 04 2017 07:30:58 GMT+0800 (HKT)
125.78.88.214	Thu May 04 2017 07:32:59 GMT+0800 (HKT)
125.78.88.214	Thu May 04 2017 07:35:00 GMT+0800 (HKT)
125.78.88.214	Thu May 04 2017 07:37:00 GMT+0800 (HKT)
125.78.88.123	Thu May 04 2017 07:39:01 GMT+0800 (HKT)
125.78.88.123	Thu May 04 2017 07:41:02 GMT+0800 (HKT)
120.37.142.117	Thu May 04 2017 07:43:02 GMT+0800 (HKT)
120.37.142.117	Thu May 04 2017 07:45:03 GMT+0800 (HKT)
120.37.142.117	Thu May 04 2017 07:47:04 GMT+0800 (HKT)
125.78.88.223	Thu May 04 2017 07:49:04 GMT+0800 (HKT)
125.78.88.223	Thu May 04 2017 07:51:05 GMT+0800 (HKT)
125.78.88.230	Thu May 04 2017 07:53:08 GMT+0800 (HKT)
125.78.88.230	Thu May 04 2017 07:55:12 GMT+0800 (HKT)
125.78.88.230	Thu May 04 2017 07:57:13 GMT+0800 (HKT)
120.37.142.130	Thu May 04 2017 07:59:14 GMT+0800 (HKT)
120.37.142.130	Thu May 04 2017 08:01:15 GMT+0800 (HKT)
120.37.141.67	Thu May 04 2017 08:03:15 GMT+0800 (HKT)
120.37.141.67	Thu May 04 2017 08:05:16 GMT+0800 (HKT)
120.37.141.67	Thu May 04 2017 08:07:16 GMT+0800 (HKT)
120.37.141.162	Thu May 04 2017 08:09:17 GMT+0800 (HKT)
120.37.141.162	Thu May 04 2017 08:11:18 GMT+0800 (HKT)
125.78.88.236	Thu May 04 2017 08:13:18 GMT+0800 (HKT)
125.78.88.236	Thu May 04 2017 08:15:19 GMT+0800 (HKT)
125.78.88.236	Thu May 04 2017 08:17:19 GMT+0800 (HKT)
125.78.88.200	Thu May 04 2017 08:19:20 GMT+0800 (HKT)
125.78.88.200	Thu May 04 2017 08:21:21 GMT+0800 (HKT)
125.78.88.85	Thu May 04 2017 08:23:21 GMT+0800 (HKT)
125.78.88.85	Thu May 04 2017 08:25:22 GMT+0800 (HKT)
125.78.88.85	Thu May 04 2017 08:27:23 GMT+0800 (HKT)
125.78.88.245	Thu May 04 2017 08:29:24 GMT+0800 (HKT)
125.78.88.245	Thu May 04 2017 08:31:25 GMT+0800 (HKT)
125.78.88.10	Thu May 04 2017 08:33:26 GMT+0800 (HKT)
125.78.88.10	Thu May 04 2017 08:35:26 GMT+0800 (HKT)
125.78.88.10	Thu May 04 2017 08:37:27 GMT+0800 (HKT)
120.37.142.75	Thu May 04 2017 08:39:28 GMT+0800 (HKT)
120.37.142.75	Thu May 04 2017 08:41:28 GMT+0800 (HKT)
27.152.29.24	Thu May 04 2017 08:43:30 GMT+0800 (HKT)
27.152.29.24	Thu May 04 2017 08:45:30 GMT+0800 (HKT)
27.152.29.24	Thu May 04 2017 08:47:31 GMT+0800 (HKT)
120.37.141.114	Thu May 04 2017 08:49:31 GMT+0800 (HKT)
120.37.141.114	Thu May 04 2017 08:51:32 GMT+0800 (HKT)
125.78.88.100	Thu May 04 2017 08:53:33 GMT+0800 (HKT)
125.78.88.100	Thu May 04 2017 08:55:33 GMT+0800 (HKT)
125.78.88.100	Thu May 04 2017 08:57:34 GMT+0800 (HKT)
125.78.88.75	Thu May 04 2017 08:59:35 GMT+0800 (HKT)
125.78.88.75	Thu May 04 2017 09:01:35 GMT+0800 (HKT)
120.37.141.196	Thu May 04 2017 09:03:36 GMT+0800 (HKT)
120.37.141.196	Thu May 04 2017 09:05:37 GMT+0800 (HKT)
120.37.141.196	Thu May 04 2017 09:07:37 GMT+0800 (HKT)
120.37.141.35	Thu May 04 2017 09:09:38 GMT+0800 (HKT)
120.37.141.35	Thu May 04 2017 09:11:39 GMT+0800 (HKT)
125.78.88.211	Thu May 04 2017 09:13:40 GMT+0800 (HKT)
125.78.88.211	Thu May 04 2017 09:15:40 GMT+0800 (HKT)
125.78.88.211	Thu May 04 2017 09:17:41 GMT+0800 (HKT)
125.78.88.82	Thu May 04 2017 09:19:41 GMT+0800 (HKT)
